SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,3499,2,3448,49,0,0,0,0,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,2140,21,2083,36,0,0,0,0,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,33023,41,32144,838,0,0,0,0,0,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,1965,1,1958,6,0,0,0,0,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,2268,1,2240,27,0,0,0,0,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,5715,41,5612,62,0,0,0,0,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,7671,23,7549,99,0,0,0,0,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,3484,15,3422,47,0,0,0,0,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,81915,274,80455,1186,0,0,0,0,0,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,5811,0,5720,91,0,0,0,0,0,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,1477,0,1465,12,0,0,0,0,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,3852,10,3766,76,0,0,0,0,0,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,6837,13,6711,113,0,0,0,0,0,,
670,UP,Uttar Pradesh,UP_Mau,Mau,3067,1,3027,39,0,0,0,0,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,22402,292,21668,442,0,0,0,0,0,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,3460,10,3404,46,0,0,0,0,0,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,11891,3,11704,184,0,0,0,0,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,8880,7,8762,111,0,0,0,0,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,4207,6,4117,84,0,0,0,0,0,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,5421,5,5342,74,0,0,0,0,0,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,29355,159,28787,409,0,0,0,0,0,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,5561,16,5434,111,0,0,0,0,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,5530,3,5469,58,0,0,0,0,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,10119,19,9965,135,0,0,0,0,0,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,3211,62,3104,45,0,0,0,0,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,3440,19,3377,44,0,0,0,0,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,6965,18,6833,114,0,0,0,0,0,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,3668,8,3629,31,0,0,0,0,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,1370,4,1348,18,0,0,0,0,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,4090,17,4020,53,0,0,0,0,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,4854,11,4760,83,0,0,0,0,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,5027,42,4910,75,0,0,0,0,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,5004,33,4894,77,0,0,0,0,0,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,4562,112,4363,87,0,0,0,0,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,23548,55,23037,456,0,0,0,0,0,,
692,UT,Uttarakhand,UT_Almora,Almora,3261,11,3096,25,129,1,-9,10,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,1535,0,1492,17,26,0,0,0,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,3487,6,3378,15,88,0,0,0,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,1821,15,1790,9,7,0,0,0,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,29746,117,28228,963,438,15,10,5,0,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,14230,141,13750,158,181,19,13,6,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,12713,93,12303,237,80,2,-3,5,0,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,5125,26,5015,60,24,1,-1,2,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,3362,0,3303,48,11,0,0,0,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,2272,3,2252,10,7,1,1,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,4236,17,4032,16,171,1,-2,3,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,11557,25,11290,117,125,5,5,0,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,3789,9,3646,17,117,0,0,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,7711,9,7616,86,0,1,1,0,0,,
706,WB,West Bengal,WB_Bankura,Bankura,11986,67,11827,92,0,7,1,6,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,10051,48,9914,89,0,3,-2,5,0,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,11843,8,11763,72,0,0,-1,1,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,8179,6,8099,74,0,0,0,0,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,18460,59,18197,204,0,6,-1,6,1,,
711,WB,West Bengal,WB_Hooghly,Hooghly,29659,67,29095,497,0,8,0,8,0,,
712,WB,West Bengal,WB_Howrah,Howrah,35875,131,34698,1046,0,15,4,11,0,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,14713,44,14505,164,0,3,0,3,0,,
714,WB,West Bengal,WB_Jhargram,Jhargram,3050,5,3023,22,0,2,1,1,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,2235,3,2205,27,0,0,-1,1,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,129624,1203,125319,3102,0,73,2,71,0,,
717,WB,West Bengal,WB_Malda,Malda,12698,18,12566,114,0,3,1,2,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,12314,19,12146,149,0,1,-1,2,0,,
720,WB,West Bengal,WB_Nadia,Nadia,22651,48,22284,319,0,3,-1,4,0,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,123311,943,119859,2509,0,57,-4,60,1,,
0,WB,West Bengal,WB_Other State,Other State,66,0,63,3,0,0,0,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,16419,146,16104,169,0,10,-4,14,0,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,20248,44,19893,311,0,4,-1,5,0,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,12692,31,12558,103,0,3,0,3,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,20702,68,20355,279,0,5,-2,7,0,,
725,WB,West Bengal,WB_Purulia,Purulia,7281,62,7170,49,0,8,4,4,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,37242,170,36358,714,0,12,0,12,0,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,6702,46,6578,78,0,1,-4,5,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,4968,-13,4919,62,0,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,102338,-68244,168937,298,1347,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,73,10,61,2,0,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,0,-1,0,1,0,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,638893,756,627227,10910,0,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,48764,-3016,51176,604,0,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,14,-11,25,0,0,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,1413,-25598,26950,61,0,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,3885,-1027,4683,132,97,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,1048,-295713,295156,1605,0,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
